영문명	이름	생년	국적	업적	중요도	
??	베른하르트 볼차노	1781~1848	체코	"볼차노-바이어슈트라스 정리, 연속-미분불가함수 발견"		
??	오귀스탱 루이 코시	1789~1857	프랑스	"코시-슈바르츠 부등식, 입실론-델타 논법, 평균값 정리, 복소해석학, 다면체연구"	2	
??	아우구스트 페르디난드 뫼비우스	1790~1868	독일	"뫼비우스의 띠, 위상수학의 토대"		
??	니콜라이 로바체프스키	1792~1856	러시아	쌍곡기하학 토대(w 볼리아이)	1	
??	닐스 헨리크 아벨	1802~1829	노르웨이	"5차 방정식이 대수적 해법이 없음을 증명, 아벨상"	1	
??	카를 구스타프 야코비	1804~1851	독일	"야코비 타원함수, 행렬식 사용"	1	
??	패터 디리클레	1805~1859	독일	"비둘기집의 원리, 정수론-미적분 연결, 디리클레 급수, 디리클레 적분"	1	
??	윌리엄 해밀턴	1805~1865	아일랜드	"케일리-해밀턴 정리, 사원수, 선형대수학 "	1	사원수:3차원 복소체계
??	드모르간	1806~1871	영국	"드모르간의 법칙, 수학적 귀납법"	1	
??	에바리스트 갈루아	1811~1832	프랑스	"5차방정식 근의 공식이 없음을 증명, 군론"	1	
??	제임스 조셉 실베스터	1814~1897	영국	행렬 Matrix 용어 확립		
??	카를 바이어슈트라스	1815~1897	독일	"입실론 -델타, 극한 수렴 설명, 최대 최소의 정리"	1	
??	파프누티 체비쇼프	1821~1894	러시아	"큰수의 법칙, 중심극한정리, 체비쇼프 부등식, 체비쇼프 다항식"		
??	아서 케일리	1821~1895	영국	헤밀턴의 사원수 -> 팔원수	1	
??	베른하르트 리만	1826~1866	독일	"리만가설, 리만 적분, 구면기하학, 코시-리만 방정식"	2	
??	리하르트 데데킨트	1831~1916	독일	"실수 확장?, 무한집합"	2	
??	헤르만 슈바르츠	1843~1921	독일	"코시-슈바르츠 부등식, 슈바르츠 함수, 슈바르츠 적분 부등식"	1	
??	게오르크 칸토어	1845~1918	독일	"집합론, 무한집합의 1:1대응"	2	
??	펠릭스 클라인	1849~1925	독일	클라인 병->쌍곡기하학	1	
??	앙리 푸엥카레	1854~1912	프랑스	"위상수학, 푸엥카레 추측"	2	
??	주세페 페아노	1858~1932	이탈리아	"페아노 공리, 페아노 곡선"	1	
??	알프레드 화이트헤드	1861~1947	영국	"유기체 철학, 수학원리(w 러셀)"		
??	다비드 힐베르트	1862~1943	독일	"힐베르트 무한호텔, 힐베르트 위상"	2	
??	존 찰스 필즈	1863~1932	캐나다	필즈상		
??	헤르만 민코프스키	1846~1909	독일	"세계선, 고유시간 도입"		
??	펠릭스 하우스도프	1868~1942	독일	"집합론, 위상수학, 하우스도르프 공간"		
??	버트런드 러셀	1872~1970	영국	"러셀의 역설, 수학원리(w화이트헤드), 노벨문학/평화상"	1	
??	고드프리 해럴드 하디	1877~1947	영국	"정수론, 어느 수학자의 변명"		
??	에미 뇌터	1882~1935	독일	불편량의 문제	1	
??	바츨라프 시어핀스키	1882~1969	폴란드	시어핀스키 삼각형		
??	스리나바사 라마누잔	1887~1920	인도	"라마누잔 상수, 택시번호 1729"	1	
??	파벨 알렉산드로프	1896~1982	러시아	위상기하학+집합론		
??	존 폰 노이만	1903~1957	헝가리	"컴퓨터 구조 설계, 게임이론"	1	
??	쿠르트 괴델	1906~1978	미국	불완전성 정리	1	
??	앨런 튜링	1912~1954	영국	"암호학, 튜링머신, 애니그마 해독"	1	
??	클로드 섀넌	1916~2001	미국	"응용수학, 비트(bit)고안"	1	
??	브누아 망델브로	1924~2010	프랑스	"프렉탈, 망델브로 집합"	1
??	알렉산더 그로센딕	1928~2014	독일	함수해석학 / 호몰로지? / 대수기하학	1
??	존 내쉬	1928~2015	미국	"내쉬균형, 노벨 경제학상/ 아벨상/ 폰노이먼상"	1
??	앤드류 와일즈	1953~	영국	페르마 마지막정리
??	그레고리 페릴만	1966~	러시아	푸엥카레 추측 증명
